iter	RMSE
0	0.9888744011
1	0.9640356174
2	0.9463643958
3	0.9284662561
4	0.9132097645
5	0.8978844988
6	0.881970499
7	0.8668358161
8	0.851323871
9	0.8356832131
10	0.8214972134
11	0.8079178596
12	0.7939423071
13	0.7804224177
14	0.7666621017
15	0.7546206622
16	0.7421014175
17	0.7311560418
18	0.7205332896
19	0.7096104639
20	0.6995117411
21	0.6896235602
22	0.6792573388
23	0.6687773002
24	0.6598119906
25	0.6509939812
26	0.6421596921
27	0.6338641806
28	0.625608705
29	0.6161934158
30	0.6078564297
31	0.6004298235
32	0.5927833656
33	0.5857831312
34	0.5783246941
35	0.5713218231
36	0.5646839703
37	0.5581660466
38	0.5522006678
39	0.5453659022
40	0.5393809359
41	0.5328009874
42	0.5267039663
43	0.5209987266
44	0.514504648
45	0.5096549803
46	0.5039764294
47	0.4996922283
48	0.4947958181
49	0.4894056267
50	0.4843288428
51	0.4801769202
52	0.4753484046
53	0.471325454
54	0.46739106
55	0.463190891
56	0.4595710337
57	0.4560787633
58	0.4526719793
59	0.4486266799
60	0.4454230265
61	0.4425813685
62	0.4388493648
63	0.4359012854
64	0.4330602423
65	0.4291943641
66	0.4265873056
67	0.4239404382
68	0.4199957285
69	0.4177225048
70	0.4152825378
71	0.4136675789
72	0.4115318287
73	0.4078024725
74	0.4046599001
75	0.4024092819
76	0.3993789602
77	0.396016265
78	0.3943468554
79	0.39099085
80	0.3891960697
81	0.3878281033
82	0.3863216806
83	0.3845244518
84	0.3823910597
85	0.379536635
86	0.3763758987
87	0.3752378958
88	0.3724148707
89	0.3707933292
90	0.3696523068
91	0.3671890133
92	0.3655145983
93	0.3644180101
94	0.3633215041
95	0.362295357
96	0.3613730608
97	0.3603737102
98	0.3595515407
99	0.3583567794
100	0.3566382432
101	0.354917619
102	0.3540167863
103	0.3516597099
104	0.3506655664
105	0.3498466737
106	0.3488715526
107	0.346843078
108	0.3444849872
109	0.3424855991
110	0.3405958723
111	0.3398847832
112	0.3386304515
113	0.3366162
114	0.334637815
115	0.333785559
116	0.3318408022
117	0.3311191815
118	0.3294134501
119	0.328774831
120	0.3281310987
121	0.3263263475
122	0.3260718713
123	0.3254861738
124	0.3249731706
125	0.3244748095
126	0.3232299149
127	0.3226688783
128	0.3220206139
129	0.3211653593
130	0.3205585945
131	0.3198629064
132	0.318240061
133	0.3173522131
134	0.3168009083
135	0.3164679917
136	0.3144288515
137	0.3128341086
138	0.3123434167
139	0.3108313185
140	0.3105854388
141	0.3102423628
142	0.3097497796
143	0.309480909
144	0.3089266864
145	0.3083821209
146	0.3078205585
147	0.30706076
148	0.3065472259
149	0.305223029
150	0.304819942
151	0.3044441358
152	0.3037291701
153	0.3022173711
154	0.3020323134
155	0.3010654674
156	0.3008007541
157	0.3004026344
158	0.3002160525
159	0.2989503153
160	0.2979029491
161	0.2973570171
162	0.2971192142
163	0.2966458517
164	0.2963679129
165	0.2949468746
166	0.2932747201
167	0.2916618686
168	0.2913625449
169	0.290991079
170	0.2908319383
171	0.2905682293
172	0.2898001085
173	0.2886995203
174	0.2883507581
175	0.2880515064
176	0.2876353563
177	0.2862421067
178	0.2853222306
179	0.2851271537
180	0.2846371449
181	0.2833818554
182	0.2830787654
183	0.2825865223
184	0.2824467164
185	0.282271944
186	0.2811385422
187	0.2808509221
188	0.280583329
189	0.2803724526
190	0.2800362643
191	0.2794996317
192	0.2787497062
193	0.2772863816
194	0.2768033015
195	0.2764363623
196	0.2756996196
197	0.2754384118
198	0.2752303513
199	0.274982093
200	0.2747834985
201	0.2733660268
202	0.2720094106
203	0.2718446467
204	0.2715598347
205	0.2714199977
206	0.2703391174
207	0.2691246669
208	0.2680003884
209	0.2677934291
210	0.267613592
211	0.2674771489
212	0.2673926852
213	0.2671219108
214	0.2660455427
215	0.264733138
216	0.2643102216
217	0.2641859274
218	0.2638544756
219	0.2634429309
220	0.2631761348
221	0.2630419643
222	0.2625757588
223	0.2616280517
224	0.2614920987
225	0.2613675136
226	0.2603524581
227	0.2599134581
228	0.2593750224
229	0.2592123526
230	0.2589294655
231	0.2587644665
232	0.2574105407
233	0.2564179471
234	0.2555027247
235	0.2546026985
236	0.2544609266
237	0.2543131201
238	0.2542083097
239	0.2534883205
240	0.2528189903
241	0.2526090873
242	0.2519099508
243	0.251649108
244	0.2515869198
245	0.2514398516
246	0.2509310793
247	0.2508454048
248	0.2506533693
249	0.2500973722
250	0.2491855565
251	0.2490771297
252	0.2485518163
253	0.2484704835
254	0.2479489069
255	0.2478301692
256	0.247685359
257	0.2475070887
258	0.2462316582
259	0.2461451646
260	0.2459712019
261	0.2458303397
262	0.2454693149
263	0.2445020815
264	0.2444521354
265	0.2443105029
266	0.2441650304
267	0.2439806138
268	0.242957842
269	0.2427670523
270	0.2426220166
271	0.2416726553
272	0.2413829989
273	0.240522521
274	0.2404329493
275	0.2403054704
276	0.2400510175
277	0.2399068388
278	0.2395255833
279	0.2393766855
280	0.2390446884
281	0.2388080335
282	0.2387096777
283	0.2386030447
284	0.2384928843
285	0.2376485283
286	0.2369870126
287	0.236866674
288	0.2362233558
289	0.2361666313
290	0.2359762655
291	0.235843962
292	0.2357845614
293	0.2357331198
294	0.2356878342
295	0.2356014159
296	0.2354624159
297	0.2353260243
298	0.2351662857
299	0.2348175773
300	0.2347154871
301	0.2346142041
302	0.2344893922
303	0.2335550124
304	0.2335165228
305	0.232761412
306	0.2326396923
307	0.2320758662
308	0.231963784
309	0.2310334612
310	0.2309843204
311	0.2308030985
312	0.2307495859
313	0.230656981
314	0.2304698046
315	0.2303524871
316	0.2302624566
317	0.2301352684
318	0.2299789984
319	0.2290294276
320	0.228913066
321	0.2287891709
322	0.2286726353
323	0.2285957386
324	0.2283718907
325	0.2283105143
326	0.2281984831
327	0.2281460234
328	0.2272902745
329	0.2272367544
330	0.227140936
331	0.2263126116
332	0.225504908
333	0.2254349989
334	0.2251215305
335	0.2247019413
336	0.2246533142
337	0.2245627545
338	0.2245209748
