iter	Passed	Remaining
0	137	137340
1	138	68955
2	138	46070
3	139	34664
4	139	27842
5	140	23290
6	141	20041
7	141	17601
8	142	15690
9	143	14172
10	143	12925
11	144	11883
12	144	10998
13	145	10254
14	146	9604
15	146	9018
16	147	8516
17	147	8072
18	148	7655
19	148	7298
20	149	6971
21	150	6676
22	150	6406
23	151	6165
24	152	5937
25	152	5711
26	153	5519
27	153	5338
28	154	5169
29	154	5011
30	155	4864
31	155	4718
32	156	4593
33	157	4463
34	157	4341
35	158	4234
36	158	4131
37	159	4033
38	159	3942
39	160	3853
40	161	3769
41	161	3690
42	162	3614
43	163	3543
44	163	3474
45	164	3407
46	164	3343
47	165	3284
48	166	3226
49	166	3169
50	167	3113
51	167	3058
52	168	3008
53	169	2960
54	169	2914
55	170	2869
56	170	2826
57	171	2784
58	171	2739
59	172	2700
60	173	2663
61	173	2622
62	174	2588
63	174	2555
64	175	2524
65	176	2493
66	176	2461
67	177	2431
68	178	2403
69	178	2377
70	179	2353
71	180	2320
72	180	2291
73	181	2266
74	181	2243
75	182	2221
76	183	2198
77	184	2176
78	184	2152
79	185	2129
80	185	2108
81	186	2085
82	186	2062
83	187	2043
84	188	2024
85	188	2005
86	189	1987
87	189	1966
88	190	1949
89	191	1932
90	191	1913
91	192	1896
92	192	1880
93	193	1865
94	194	1849
95	194	1834
96	195	1817
97	195	1803
98	196	1788
99	197	1774
100	197	1760
101	198	1746
102	199	1733
103	199	1720
104	200	1707
105	201	1696
106	201	1684
107	202	1671
108	202	1659
109	203	1647
110	204	1636
111	204	1625
112	205	1614
113	206	1603
114	207	1593
115	207	1583
116	208	1573
117	209	1563
118	209	1553
119	210	1542
120	210	1532
121	211	1523
122	212	1512
123	212	1502
124	213	1493
125	213	1483
126	214	1475
127	215	1465
128	215	1457
129	216	1448
130	217	1440
131	217	1432
132	218	1424
133	219	1417
134	219	1409
135	220	1401
136	221	1393
137	222	1387
138	222	1379
139	223	1371
140	223	1362
141	224	1354
142	224	1346
143	225	1339
144	226	1332
145	226	1326
146	227	1320
147	228	1314
148	229	1308
149	229	1301
150	230	1294
151	230	1287
152	231	1281
153	232	1275
154	232	1268
155	233	1262
156	233	1254
157	234	1248
158	234	1242
159	235	1236
160	236	1230
